"1","西城“社区学习中心”辅教项目","3471640","","1176998400","1183219199","1177084800","1180627199","0","","","1","","1","","2","237","0","0","西城区图书馆，北京市西直门南小街后广平胡同20号，可乘地铁、44、7、387、845等公交线路西直门站下车。","116.37010850291","39.94187685725","wx4g0p4nk1d01v7n8d3","开学期间每周六上午9：30至11：30","为志愿者提供服务认证","在“社区学习中心”学习的进京务工青年","","0","0.0","0","0","","","0","0","0","1985","21","0","1176998400","1176998400","1","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","宋庄镇奥运志愿服务宣讲团","3471648","","1176998400","1183219199","1177084800","1180627199","0","","","1","","1","","2","2251","0","0","各村村委会活动站","116.74007918068","39.809814883851","wx542rpscp25y443kekm","每月的第二周、第四周的星期五上午8：30—11：30","1．提供餐饮保障；2．提供统一的标识。","全镇47个行政村的团员，35岁以下的青年","","0","0.0","0","0","","","0","0","0","890","21","0","1176998400","1176998400","1","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","仁和镇河南村计算机培训志愿者服务队","3471647","","1176998400","1183219199","1177084800","1180627199","0","","","1","","1","","2","2360","0","0","顺义区仁和镇河南村","116.70759240588","40.107724246179","wx4uptrukj8q3kjyhsg4","每周六、日下午4：00-6：00","为志愿者提供服务认证","仁和镇河南村居民","","0","0.0","0","0","","","0","0","0","778","21","0","1176998400","1176998400","1","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1635041","普及金融知识宣传活动","66842680","","1529424000","1529856000","1529424000","1529856000","0","","","1","","1","","7053","7157","7158","0","临沂大学、华星机械厂、茶叶市场","116.5443764014","37.905990731562","wwdzsh942ucd7u5y7wt7","2018年6月23上午9：00","集中乘车,餐饮或食物,提供饮水,志愿服务工具,其他","其他","走访临沂大学，茶叶市场，华星机械厂张挂条幅，发放宣传折页，现场讲解金融知识。","","0.0","0","1","","","0","0","0","0","20","10","1529480694","0","20","0","0","0","0","500","[{""money_id"":""0"",""money_from"":""2"",""money_sum"":""500""}]","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1635042","义诊志愿服务活动","16048554","","1514736000","1546185600","1514736000","1546185600","0","","","1","","1","","8997","9656","9671","9676","邯郸县丛台北路","114.540461","36.626691","ww92q7tvfnjf","全天候志愿服务","其他","儿童,其他","每天在医院内组织医院职工开展文明引导、敬老助残、秩序维护等便民服务，设立20人的志愿队伍，全天候，轮流上岗开展志愿服务。","","0.0","0","1","","","0","0","0","0","21","0","1529480696","0","3","0","0","0","0","0","[{""money_id"":""1"",""money_from"":"""",""money_sum"":""""}]","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1635043","社区劝导队","3473455","","1527782400","1546185600","1527782400","1530288000","0","","","0","","0","","2","916","1037","11821","北京市丰台区大瓦窑北路2号院","116.2567150175","39.873495618278","wx4dv6xxcy3dpyhec6yq","每月不定时的为辖区居民服务。","志愿服务工具","其他","<p><span style=""font-size:15.0pt""><span style=""font-family:仿宋"">&nbsp; &nbsp; 为维护好社区居民的生活环境，确保社区环境秩序工作治理的良好，由社区党委，居委会，服务站结合社区实际情况成立了社区劝导队，对本社区不文明行为开展劝导活动，取得了较好的成效。我社区对文明劝导活动进行了细致的部署，成立了由社区党委书记、社区居委会主任为社区劝导队队长。劝导队由社区干部、社区协管员、社区党员、志愿者共计60余名成员组成。要求队员上岗时统一佩戴环境秩序劝导队员袖标，工作中做到文明劝导，耐心说服，避免发生冲突。</span></span></p><p><span style=""line-height:22.5pt""><span style=""font-size:15pt""><span style=""font-family:仿宋"">&nbsp; &nbsp;文明劝导队的工作活动得到了广大居民群众的一致认可，有些原来对社区有意见的居民群众也能主动地向劝导队人员反映他们的心声，并提出了他们对社区内存在的问题，看法、意见或建议。劝导队与居民群众的关系，与各有关部门的关系，通过不断接触，沟通更加接近了，更加融洽了，劝导队对自己的定位是：一要以身作则，二要带头，三是以第三方的身份做好沟通、宣传、劝导工作。</span></span></span></p><p><span style=""font-size:15pt""><span style=""font-family:仿宋"">&nbsp; &nbsp; 我们的队员一致表示，一定要再接再厉把常态管理与长效管理有机地结合起来，使文明行为不断得到发扬光大。</span></span><span style=""font-size:15.0pt""><span style=""font-family:仿宋"">将劝导队作为社区一支固定的志愿服务队伍在社区建设中发挥作用，随时劝说居民遵纪守法、维护环境、邻里互助。</span></span></p><p><br></p>","","0.0","0","0","","","0","0","0","0","40","0","1529480706","0","1","0","0","0","0","0","[{""money_id"":""0"",""money_from"":""7"",""money_sum"":""""}]","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1635045","民主法制宣传","50291953","","1435161600","1435161600","1435161600","1435161600","0","","","1","","1","","7209","7327","7331","0","方城县杨集乡小河里村","113.00425385325","33.34337041178","wtbmemzpjyybj8g21y5","2015年6月25日","集中乘车","其他","县纪委监察局在杨集乡小河里村开展“思想道德民主法制万家”活动。","","180.0","0","2","50291953","","0","0","0","0","20","10","1529480716","0","21","0","60","0","0","0","[{""money_id"":""0"",""money_from"":"""",""money_sum"":""""}]","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1635046","健康讲座","45464019","","1528041600","1528300800","1528041600","1528300800","0","","","1","","1","","7385","7386","7387","0","江岸区","114.374734","30.692666","wt3qdemjsrwu","2018年6月7日 上午","其他","其他","为了老年人身体健康，传播、普及健康知识，倡导文明健康的生活方式，日前，天兴花园社区邀请养生专家、谌家矶卫生服务中心医生在社区开办健康讲座，为社区老年人送去一堂老年痛风的中医药保健和预防健康知识讲座，吸引了六十多名社区居民前来参与。讲座结束后，谌家矶医院的医生还为老年人进行了血压，血脂的测量此次活动得到居民的大力支持，希望社区多举行此类活动。<br>","","66.0","0","0","","","0","0","0","0","21","0","1529480718","0","22","0","65","0","0","0","[{""money_id"":""0"",""money_from"":"""",""money_sum"":""""}]","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1635047","创建文明城市志愿服务活动","35091968","","1529337600","1529337600","1529337600","1529337600","0","","","1","","1","","8356","8357","8364","0","晋宁区昆阳街道","102.60843269408","24.669985225585","wk2uqgj1jf8f4ds2tsn4","2018年6月19日上午10：00-12:00；下午14:00-16:00入社区开展创文宣传。","提供饮水,志愿服务工具,其他","其他","响应创文号召，入社区宣传创文知识。","","20.0","0","2","35091968","","0","0","0","0","21","0","1529480718","0","28","0","5","0","0","0","[{""money_id"":""0"",""money_from"":""7"",""money_sum"":""0""}]","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1635048","点岱沟村集中开展坏境卫生大扫除活动","22770621","","1529251200","1545235200","1529251200","1545235200","0","","","1","","1","","6048","6095","0","0","薛家湾","110.75668780886","37.189305326233","wqwg864e3uupqv5nddev","48小时","志愿服务工具,其他","其他","集中开站村级环境卫生整治活动","","480.0","0","4","","","0","0","0","0","21","0","1529630008","0","12","0","20","0","0","100","[{""money_id"":""1"",""money_from"":""6"",""money_sum"":""100""}]","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
